Initializing soft prompt...
data/train_SQuAD.pt
data/validation_SQuAD.pt
data/test_DuoRC.ParaphraseRC.pt
{'loss': 1.1491, 'learning_rate': 0.0009986141906873614, 'epoch': 0.01}
{'loss': 1.1477, 'learning_rate': 0.0009972283813747228, 'epoch': 0.01}
{'loss': 1.0601, 'learning_rate': 0.0009958425720620844, 'epoch': 0.02}
{'loss': 1.1408, 'learning_rate': 0.0009944567627494458, 'epoch': 0.02}
{'loss': 1.0914, 'learning_rate': 0.0009930709534368071, 'epoch': 0.03}
{'loss': 1.146, 'learning_rate': 0.0009916851441241685, 'epoch': 0.03}
{'loss': 1.1069, 'learning_rate': 0.00099029933481153, 'epoch': 0.04}
{'loss': 1.137, 'learning_rate': 0.0009889135254988913, 'epoch': 0.04}
{'loss': 1.0385, 'learning_rate': 0.0009875277161862529, 'epoch': 0.05}
{'loss': 1.0957, 'learning_rate': 0.0009861419068736142, 'epoch': 0.06}
{'loss': 1.0509, 'learning_rate': 0.0009847560975609756, 'epoch': 0.06}
{'loss': 1.0376, 'learning_rate': 0.000983370288248337, 'epoch': 0.07}
{'loss': 1.0468, 'learning_rate': 0.0009819844789356984, 'epoch': 0.07}
{'loss': 0.9608, 'learning_rate': 0.00098059866962306, 'epoch': 0.08}
{'loss': 1.0072, 'learning_rate': 0.0009792128603104213, 'epoch': 0.08}
{'loss': 1.0178, 'learning_rate': 0.0009778270509977827, 'epoch': 0.09}
{'loss': 0.9992, 'learning_rate': 0.0009764412416851441, 'epoch': 0.09}
{'loss': 1.0323, 'learning_rate': 0.0009750554323725056, 'epoch': 0.1}
{'loss': 1.0915, 'learning_rate': 0.000973669623059867, 'epoch': 0.11}
{'loss': 1.008, 'learning_rate': 0.0009722838137472285, 'epoch': 0.11}
{'loss': 0.9805, 'learning_rate': 0.0009708980044345898, 'epoch': 0.12}
{'loss': 0.9865, 'learning_rate': 0.0009695121951219512, 'epoch': 0.12}
{'loss': 0.9451, 'learning_rate': 0.0009681263858093127, 'epoch': 0.13}
{'loss': 0.979, 'learning_rate': 0.0009667405764966741, 'epoch': 0.13}
{'loss': 1.0649, 'learning_rate': 0.0009653547671840355, 'epoch': 0.14}
{'loss': 0.9277, 'learning_rate': 0.0009639689578713969, 'epoch': 0.14}
{'loss': 0.9304, 'learning_rate': 0.0009625831485587583, 'epoch': 0.15}
{'loss': 1.0126, 'learning_rate': 0.0009611973392461197, 'epoch': 0.16}
{'loss': 0.9732, 'learning_rate': 0.0009598115299334812, 'epoch': 0.16}
{'loss': 1.0394, 'learning_rate': 0.0009584257206208426, 'epoch': 0.17}
